sentences_author;label
frank, wish i was there with you in italy, just walking the streets and wandering from pasta to espresso to ice cream, to. <br/>enjoy frank, and forget him for a few days.;neutral
poor gail and brett.;negative
 patience, mr. douthat.;neutral
  not seeing the bright side you try to conjure here, ross. yes, ross, your party has installed a president who is a clear and present menace to one and all, you are right about that.;negative
as a long time reader of nyrb and a working editor for decades, i have two cynical reactions to encomia like roger cohen's among others'.;negative
  brooks nails the sycophancy loving narcism that  causes trump to melt. <br/>in the meantime this is so enjoyable!  everyday a real reality television show that so upsets leftists and others!<br/><br/>great column mr. brooks! phenomenally well written piece by david brooks and one of the finest he has ever written.;positive
very powerful, maureen dowd.;positive
<br/><br/>ms. collins, as usual, is spot on.;positive
nailed it maureen.;positive
  stephens picked the low-hanging fruit.;neutral
you are correct, mr. blow.;positive
if i ever want my fortune told, i will certainly go to mr. blow.;positive
brother blow,<br/><br/>i recognize it is nearly impossible to take trump out of the equation but consider the following: international politics short of trade sanctions (which empower the sanctioned leaders) and military action is all just rhetoric.;neutral
when the republican party stops supporting health care funding for viagra and starts supporting health care funding for women's contraception, when they support a women's right to choose, equal pay, child care and maternity leave, and when they stop their war on planned parenthood, then and only then willl douthat have a point.;negative
david brooks remains one of the sharpest social observers of our time.;positive
one of the best columns brooks has penned.;positive
let's face it, ross, given mass shootings are now a routine feature of the american landscape, the next shooting never a question of if but rather when, there is no argument for allowing the continued sale of semi-automatic weaponry under any condition.  c'mon, ross, deal with the reality on the ground.;negative
gail, what does all this say about the vocation of politics that there are so many sexual deviants and such attracted to be politicians and making a career in many cases going around proactively professing to the world that everyone should love them, because they are such fine upstanding individuals?;neutral
charles has hit it onthe nail.;positive
" your problem with trump david, as shown in your last article, ""the decline of anti-trumpism,"" was never about principle, it was that trump says racist things instead of using coded racist language as required by republican orthodoxy. democracies don't perish because of liberalism david; they perish when people like you discard democratic principles for racist right-wing allies. "" so tell us again david how liberalism is to blame for the destruction of american democracy.";negative
 part of that strategy consists in doing what i have caught krugman red-handed doing -- calling the gop racist. re paul krugman's latest bashing of paul ryan: does anyone remember when krugman was a serious, honest liberal?  <br/><br/>i won't dignify krugman's vile charges of racism against the gop -- the umpteenth time he has told that lie -- except to point out that it is the democratic party that set race against race -- and identity politics generally -- to divide the country into warring camp for its own electoral profit.;negative
mr. blow:  if trump were only the 'president', we wouldn't have anything to worry about.;neutral
mr. brooks has chosen to predict with a style and sense of certitude,<br/>not noting the ever present implications and consequences of a reality<br/>of interacting uncertainties and unpredictabilities, no matter what we do,<br/>or choose not to do,what is likely to occur, and perhaps, even continue to<br/>be.;negative
  but after the part about military parades, keep writing mr. blow, keep writing!;positive
